,Rates collection,Percentage of accumulated deficit from income,Average per capita expenditure in NIS,Education,Welfare,Total income from the government,Total expenses,Total income,Surplus or deficit per year,Development Work,immigration_balance,Socioeconomic cluster from 1 to 10 lowest 1,Percentage of eligible for a Bagrut,Gini Index of Inequality Index 0 Full Equality,Compactness Cluster from 1 to 10 1 highest
370,11683.0,0.02743850459424459,4873.855855855856,40411.0,41583.0,106902.0,270499.0,275671.0,-254.0,77435.0,1215.0,1,36.9,0.3894,7
371,123986.0,0.02755335676712339,6389.1314837153195,202262.0,19888.0,158222.0,529659.0,527159.0,270.0,126256.0,1249.0,8,81.4,0.4268,7
372,40180.0,0.048165809734395396,7262.547425474255,72233.0,22702.0,76047.0,267988.0,262759.0,-3313.0,39120.0,-153.0,5,65.5,0.3774,9
373,17979.0,0.12890126307211736,6897.962085308056,27282.0,17324.0,61308.0,145547.0,147260.0,134.0,14434.0,-186.0,5,57.3,0.3736,5
374,69552.0,0.10027998303133144,7242.490566037736,66237.0,44685.0,99717.0,383852.0,412525.0,-2958.0,49131.0,-380.0,5,69.2,0.4104,6
375,63311.0,0.0039319894787039735,8172.767441860465,77313.0,24459.0,99703.0,351429.0,333419.0,437.0,75368.0,1050.0,7,74.9,0.436,6
376,39413.0,0.10733301172299287,4514.378378378378,108719.0,48324.0,72749.0,334064.0,337883.0,136.0,46751.0,-480.0,3,52.2,0.3757,5
377,22435.0,0.00522123446448044,6919.803921568628,77395.0,46913.0,136377.0,282328.0,276946.0,-300.0,15953.0,-190.0,5,58.2,0.3755,9
378,21060.0,0.05418054077557699,7612.241379310345,47257.0,17485.0,37211.0,176604.0,174786.0,1775.0,19238.0,-139.0,7,77.2,0.433,4
379,13010.0,0.07901432858531637,7570.348432055749,51901.0,18622.0,91177.0,217269.0,236590.0,-6172.0,59229.0,-14.0,3,51.2,0.383,2
380,288654.0,0.03579721347915657,7750.327783558793,375267.0,153235.0,340787.0,1489613.0,1351865.0,-10404.0,316662.0,720.0,5,65.9,0.4239,9
381,13720.0,0.00011581411225435218,5894.874551971327,59822.0,16834.0,93304.0,164467.0,164056.0,17.0,21184.0,19.0,2,64.3,0.3629,3
382,35804.0,0.09635527383759131,7485.0847457627115,94028.0,47062.0,119278.0,353296.0,362222.0,4881.0,35029.0,-545.0,4,59.6,0.3777,7
383,37085.0,0.035077740387174865,8871.079136690647,73515.0,41068.0,84354.0,369924.0,356893.0,640.0,108358.0,274.0,5,66.7,0.3982,9
384,13136.0,0.025117790151692704,5566.359649122807,46783.0,13995.0,74866.0,126913.0,123737.0,32.0,10209.0,17.0,2,48.9,0.35995066388320496,3
385,26386.0,0.09612873106765708,6922.426778242679,30895.0,23471.0,57645.0,165446.0,169221.0,-6016.0,13178.0,-128.0,5,47.8,0.3982,6
386,303860.0,0.11107906178768902,7403.384759233287,432128.0,148629.0,286220.0,1583584.0,1598231.0,36.0,278894.0,3019.0,6,67.6,0.4399,6
387,54098.0,0.13805397350827803,6315.451713395639,40746.0,34794.0,97715.0,202726.0,199987.0,-801.0,18502.0,-999.0,4,45.9,0.4214,8
388,6276.0,0.45013073748542987,3173.811881188119,18467.0,9391.0,37818.0,64111.0,63486.0,-531.0,3732.0,-10.0,2,42.6,0.4313,2
